I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
HEB 500,500,300,,,,,239,187,,2410,107200,4290,21.2,,,"7,27",,,,a,b,,,,,,,,,,
HEB 550,550,300,,,,,254,199,,2800,136700,4970,23.2,,,"7,17",,,,a,b,,,,,,,,,,
HEB 600,600,300,,,,,270,212,,3210,171000,5700,25.2,,,"7,08",,,,a,b,,,,,,,,,,
HEB 650,650,300,,,,,286,225,,3660,210600,6480,27.1,,,"6,99",,,,a,b,,,,,,,,,,
HEB 700,700,300,,,,,306,241,,4160,256900,7340,29.00,,,"6,87",,,,a,b,,,,,,,,,,
HEB 800,800,300,,,,,334,262,,5110,359100,8980,32.8,,,"6,68",,,,a,b,,,,,,,,,,
HEB 900,900,300,,,,,371,291,,6290,494100,10980,36.5,,,"6,53",,,,a,b,,,,,,,,,,
HEB 1000,1000,300,,,,,400,314,,7430,644700,12890,40.1,,,"6,38",,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,HEA,,,,,,,,,,,,,,,,,,,a,b,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",a,b,,,,,,,,,,
